t,vacc_status,symptomatic,asymptomatic,hospitalised,dead
134,vaccinated,1.3228756555322954,3.4641016151377544,0.0,0.0
135,unvaccinated,0.8660254037844386,2.692582403567252,0.0,0.0
135,vaccinated,1.0,3.774917217635375,0.0,0.0
136,unvaccinated,1.0,1.8027756377319946,0.0,0.0
136,vaccinated,1.5,3.9370039370059056,0.0,0.0
137,unvaccinated,0.8660254037844386,1.7320508075688772,0.0,0.0
137,vaccinated,2.0,3.2015621187164243,0.0,0.0
138,unvaccinated,0.7071067811865476,1.7320508075688772,0.0,0.0
138,vaccinated,1.3228756555322954,2.8722813232690143,0.0,0.0
139,unvaccinated,1.0,3.391164991562634,0.0,0.0
139,vaccinated,2.23606797749979,3.0,0.0,0.0
140,unvaccinated,1.0,2.449489742783178,0.0,0.0
140,vaccinated,1.224744871391589,4.527692569068709,0.5,0.0
141,unvaccinated,0.8660254037844386,1.5,0.0,0.0
141,vaccinated,1.8027756377319946,3.0413812651491097,0.0,0.0
142,unvaccinated,0.8660254037844386,3.0,0.0,0.0
142,vaccinated,1.4142135623730951,4.0,0.0,0.0
143,unvaccinated,1.118033988749895,2.449489742783178,0.0,0.0
143,vaccinated,1.118033988749895,3.570714214271425,0.0,0.0
144,unvaccinated,1.224744871391589,2.6457513110645907,0.0,0.0
144,vaccinated,1.4142135623730951,5.656854249492381,0.0,0.0
145,unvaccinated,0.7071067811865476,2.7386127875258306,0.0,0.0
145,vaccinated,2.179449471770337,4.663689526544408,0.0,0.0
146,unvaccinated,0.7071067811865476,2.23606797749979,0.0,0.0
146,vaccinated,1.8027756377319946,2.449489742783178,0.0,0.0
147,unvaccinated,0.5,2.29128784747792,0.0,0.0
147,vaccinated,2.0,4.716990566028302,0.0,0.0
148,unvaccinated,0.7071067811865476,2.0615528128088303,0.0,0.0
148,vaccinated,2.0615528128088303,3.4641016151377544,0.0,0.0
149,unvaccinated,1.118033988749895,3.5355339059327378,0.0,0.0
149,vaccinated,1.8708286933869707,4.387482193696061,0.0,0.0
150,unvaccinated,0.7071067811865476,2.3979157616563596,0.0,0.0
150,vaccinated,2.1213203435596424,6.519202405202649,0.0,0.0
151,unvaccinated,1.0,3.0,0.0,0.0
151,vaccinated,2.5495097567963922,2.692582403567252,0.0,0.0
152,unvaccinated,1.4142135623730951,1.3228756555322954,0.0,0.0
152,vaccinated,1.8027756377319946,4.123105625617661,0.0,0.0
153,unvaccinated,1.224744871391589,3.7416573867739413,0.0,0.0
153,vaccinated,2.29128784747792,6.614378277661476,0.0,0.0
154,unvaccinated,1.0,2.345207879911715,0.0,0.0
154,vaccinated,1.6583123951777,5.315072906367325,0.5,0.0
155,unvaccinated,1.0,2.9154759474226504,0.0,0.0
155,vaccinated,1.5811388300841898,4.242640687119285,0.0,0.0
156,unvaccinated,0.8660254037844386,3.640054944640259,0.0,0.0
156,vaccinated,2.5495097567963922,3.0413812651491097,0.0,0.0
157,unvaccinated,1.118033988749895,3.391164991562634,0.0,0.0
157,vaccinated,1.4142135623730951,4.8218253804964775,0.5,0.0
158,unvaccinated,0.8660254037844386,1.8708286933869707,0.0,0.0
158,vaccinated,3.391164991562634,2.5495097567963922,0.0,0.0
159,unvaccinated,1.8027756377319946,3.0,0.0,0.0
159,vaccinated,1.7320508075688772,6.144102863722254,0.0,0.0
160,unvaccinated,0.8660254037844386,3.2015621187164243,0.0,0.0
160,vaccinated,2.0615528128088303,5.361902647381804,0.0,0.0
161,unvaccinated,1.5,2.8722813232690143,0.0,0.0
161,vaccinated,2.449489742783178,6.244997998398398,0.0,0.0
162,unvaccinated,0.7071067811865476,3.278719262151,0.0,0.0
162,vaccinated,3.1622776601683795,4.58257569495584,0.0,0.0
163,unvaccinated,1.118033988749895,1.5811388300841898,0.0,0.0
163,vaccinated,1.7320508075688772,3.24037034920393,0.0,0.0
164,unvaccinated,1.4142135623730951,2.1213203435596424,0.0,0.0
164,vaccinated,1.8027756377319946,5.454356057317857,0.0,0.0
165,unvaccinated,1.9364916731037085,3.1622776601683795,0.5,0.0
165,vaccinated,2.5,6.576473218982953,0.0,0.0
166,unvaccinated,1.4142135623730951,2.1213203435596424,0.0,0.0
166,vaccinated,1.5811388300841898,4.5,0.0,0.0
167,unvaccinated,1.0,2.8284271247461903,0.0,0.0
167,vaccinated,2.692582403567252,4.272001872658765,0.0,0.0
168,unvaccinated,1.4142135623730951,2.692582403567252,0.0,0.0
168,vaccinated,2.7386127875258306,3.7416573867739413,0.0,0.0
169,unvaccinated,1.7320508075688772,2.23606797749979,0.0,0.0
169,vaccinated,1.3228756555322954,6.614378277661476,0.7071067811865476,0.0
170,unvaccinated,2.0,2.23606797749979,0.0,0.0
170,vaccinated,2.5,4.47213595499958,0.0,0.0
171,unvaccinated,1.6583123951777,3.968626966596886,0.0,0.0
171,vaccinated,2.179449471770337,6.461423991660043,0.0,0.0
172,unvaccinated,1.5811388300841898,3.278719262151,0.0,0.0
172,vaccinated,3.2015621187164243,5.049752469181039,0.5,0.0
173,unvaccinated,1.4142135623730951,2.23606797749979,0.0,0.0
173,vaccinated,2.345207879911715,7.123903424387503,0.0,0.0
174,unvaccinated,1.7320508075688772,3.427827300200522,0.0,0.0
174,vaccinated,1.9364916731037085,4.663689526544408,0.0,0.0
175,unvaccinated,2.1213203435596424,4.092676385936225,0.5,0.0
175,vaccinated,2.598076211353316,7.262919523166975,0.0,0.0
176,unvaccinated,1.4142135623730951,3.7080992435478315,0.0,0.0
176,vaccinated,2.1213203435596424,5.024937810560445,0.0,0.0
177,unvaccinated,1.5,3.5,0.0,0.0
177,vaccinated,2.7386127875258306,5.830951894845301,0.0,0.0
178,unvaccinated,1.224744871391589,3.391164991562634,0.0,0.0
178,vaccinated,2.29128784747792,5.634713834792322,0.5,0.0
179,unvaccinated,1.5,3.872983346207417,0.0,0.0
179,vaccinated,2.345207879911715,9.192388155425117,0.0,0.0
180,unvaccinated,2.5495097567963922,5.454356057317857,0.0,0.0
180,vaccinated,3.840572873934304,3.570714214271425,0.0,0.0
181,unvaccinated,1.118033988749895,2.8284271247461903,0.0,0.0
181,vaccinated,2.5495097567963922,8.154753215150045,0.0,0.0
182,unvaccinated,1.4142135623730951,2.7386127875258306,0.0,0.0
182,vaccinated,3.3166247903554,7.211102550927978,0.0,0.0
183,unvaccinated,2.5495097567963922,4.330127018922194,0.5,0.0
183,vaccinated,2.598076211353316,6.946221994724902,0.5,0.0
184,unvaccinated,2.179449471770337,4.153311931459037,0.0,0.5
184,vaccinated,2.598076211353316,7.5,0.0,0.0
185,unvaccinated,1.5,4.183300132670378,0.0,0.0
185,vaccinated,2.3979157616563596,6.082762530298219,0.0,0.0
186,unvaccinated,1.118033988749895,4.0,0.0,0.0
186,vaccinated,2.7838821814150108,6.928203230275509,0.0,0.0
187,unvaccinated,1.118033988749895,3.3541019662496847,0.0,0.0
187,vaccinated,4.123105625617661,4.527692569068709,0.0,0.0
188,unvaccinated,1.8708286933869707,3.774917217635375,0.0,0.0
188,vaccinated,2.3979157616563596,8.18535277187245,0.0,0.0
189,unvaccinated,2.5,5.5677643628300215,0.0,0.0
189,vaccinated,2.7386127875258306,4.242640687119285,0.0,0.0
190,unvaccinated,1.7320508075688772,4.183300132670378,0.0,0.0
190,vaccinated,1.8027756377319946,7.399324293474371,0.0,0.0
191,unvaccinated,1.6583123951777,2.7386127875258306,0.0,0.0
191,vaccinated,4.387482193696061,9.287087810503355,0.0,0.0
192,unvaccinated,2.23606797749979,2.9154759474226504,0.0,0.0
192,vaccinated,1.224744871391589,6.284902544988268,0.0,0.0
193,unvaccinated,1.5,4.330127018922194,0.0,0.0
193,vaccinated,2.8722813232690143,7.92148975887743,0.0,0.0
194,unvaccinated,1.7320508075688772,5.049752469181039,0.0,0.0
194,vaccinated,3.605551275463989,9.591663046625438,0.0,0.0
195,unvaccinated,0.8660254037844386,3.391164991562634,0.0,0.0
195,vaccinated,2.5,9.137833441248533,0.0,0.0
196,unvaccinated,1.3228756555322954,5.0990195135927845,0.0,0.0
196,vaccinated,2.7838821814150108,8.888194417315589,0.0,0.0
197,unvaccinated,1.8708286933869707,4.2130748865881795,0.0,0.0
197,vaccinated,4.031128874149275,9.38083151964686,0.0,0.0
198,unvaccinated,2.0,4.9749371855331,0.0,0.0
198,vaccinated,3.5,7.905694150420948,0.0,0.0
199,unvaccinated,1.5811388300841898,4.06201920231798,0.0,0.0
199,vaccinated,1.6583123951777,7.3824115301167,0.0,0.0
200,unvaccinated,2.7386127875258306,4.898979485566356,0.0,0.0
200,vaccinated,4.031128874149275,8.351646544245034,0.0,0.0
201,unvaccinated,2.179449471770337,4.301162633521313,0.0,0.0
201,vaccinated,3.840572873934304,7.176350047203662,0.0,0.0
